game_number,team,date,day_of_week,month,week_end,school_in_out,days_since_last_game,opening_day,promotion,ticket_sales,season
1,FLA,2022-03-27,Sun,Mar,FALSE,FALSE,50,TRUE,none,45000,2022
2,FLA,2022-03-28,Mon,Mar,FALSE,FALSE,1,FALSE,none,25354,2022
3,FLA,2022-03-29,Tue,Mar,FALSE,FALSE,1,FALSE,none,24963,2022
4,FLA,2022-03-30,Wed,Mar,FALSE,FALSE,1,FALSE,bobblehead,37705,2022
5,FLA,2022-03-31,Thu,Mar,FALSE,FALSE,1,FALSE,none,23750,2022
6,FLA,2022-04-01,Fri,Apr,TRUE,FALSE,1,FALSE,none,38529,2022
7,LAA,2022-04-08,Fri,Apr,TRUE,FALSE,7,FALSE,none,45000,2022
8,LAA,2022-04-09,Sat,Apr,TRUE,FALSE,1,FALSE,none,45000,2022
9,LAA,2022-04-10,Sun,Apr,FALSE,FALSE,1,FALSE,none,36806,2022
10,WAS,2022-04-17,Sun,Apr,FALSE,FALSE,7,FALSE,none,31724,2022
11,WAS,2022-04-18,Mon,Apr,FALSE,FALSE,1,FALSE,none,22900,2022
12,WAS,2022-04-19,Tue,Apr,FALSE,FALSE,1,FALSE,none,24363,2022
13,LAA,2022-04-20,Wed,Apr,FALSE,FALSE,1,FALSE,none,33963,2022
14,LAA,2022-04-21,Thu,Apr,FALSE,FALSE,1,FALSE,none,29976,2022
15,LAA,2022-04-22,Fri,Apr,TRUE,FALSE,1,FALSE,none,45000,2022
16,BAL,2022-05-02,Mon,May,FALSE,FALSE,10,FALSE,none,35524,2022
17,BAL,2022-05-03,Tue,May,FALSE,FALSE,1,FALSE,none,26491,2022
18,BAL,2022-05-04,Wed,May,FALSE,FALSE,1,FALSE,bobblehead,40513,2022
19,BAL,2022-05-05,Thu,May,FALSE,FALSE,1,FALSE,none,34411,2022
20,BAL,2022-05-06,Fri,May,TRUE,FALSE,1,FALSE,none,35756,2022
21,BAL,2022-05-07,Sat,May,TRUE,FALSE,1,FALSE,other,44701,2022
22,CWS,2022-05-17,Tue,May,FALSE,FALSE,10,FALSE,none,32598,2022
23,CWS,2022-05-18,Wed,May,FALSE,FALSE,1,FALSE,none,29543,2022
24,CWS,2022-05-19,Thu,May,FALSE,FALSE,1,FALSE,concert,42941,2022
25,CLE,2022-05-20,Fri,May,TRUE,FALSE,1,FALSE,none,32926,2022
26,CLE,2022-05-21,Sat,May,TRUE,FALSE,1,FALSE,none,35296,2022
27,CLE,2022-05-22,Sun,May,FALSE,FALSE,1,FALSE,none,32160,2022
28,ATL,2022-06-01,Wed,Jun,FALSE,TRUE,10,FALSE,none,37843,2022
29,ATL,2022-06-02,Thu,Jun,FALSE,TRUE,1,FALSE,none,30074,2022
30,ATL,2022-06-03,Fri,Jun,TRUE,TRUE,1,FALSE,none,40825,2022
31,CWS,2022-06-04,Sat,Jun,TRUE,TRUE,1,FALSE,none,39180,2022
32,CWS,2022-06-05,Sun,Jun,FALSE,TRUE,1,FALSE,none,32768,2022
33,CWS,2022-06-06,Mon,Jun,FALSE,TRUE,1,FALSE,none,36209,2022
34,TEX,2022-06-16,Thu,Jun,FALSE,TRUE,10,FALSE,none,37191,2022
35,TEX,2022-06-17,Fri,Jun,TRUE,TRUE,1,FALSE,none,45000,2022
36,TEX,2022-06-18,Sat,Jun,TRUE,TRUE,1,FALSE,none,45000,2022
37,TEX,2022-06-19,Sun,Jun,FALSE,TRUE,1,FALSE,none,28263,2022
38,TEX,2022-06-20,Mon,Jun,FALSE,TRUE,1,FALSE,none,31129,2022
39,TEX,2022-06-21,Tue,Jun,FALSE,TRUE,1,FALSE,none,29730,2022
40,TB,2022-07-01,Fri,Jul,TRUE,TRUE,10,FALSE,none,43696,2022
41,TB,2022-07-02,Sat,Jul,TRUE,TRUE,1,FALSE,bobblehead,45000,2022
42,TB,2022-07-03,Sun,Jul,FALSE,TRUE,1,FALSE,none,35148,2022
43,TB,2022-07-04,Mon,Jul,FALSE,TRUE,1,FALSE,other,39870,2022
44,TB,2022-07-05,Tue,Jul,FALSE,TRUE,1,FALSE,none,32829,2022
45,TB,2022-07-06,Wed,Jul,FALSE,TRUE,1,FALSE,none,38243,2022
46,ATL,2022-07-16,Sat,Jul,TRUE,TRUE,10,FALSE,concert,45000,2022
47,ATL,2022-07-17,Sun,Jul,FALSE,TRUE,1,FALSE,none,36117,2022
48,ATL,2022-07-18,Mon,Jul,FALSE,TRUE,1,FALSE,none,25036,2022
49,ATL,2022-07-19,Tue,Jul,FALSE,TRUE,1,FALSE,none,36402,2022
50,ATL,2022-07-20,Wed,Jul,FALSE,TRUE,1,FALSE,none,31814,2022
51,ATL,2022-07-21,Thu,Jul,FALSE,TRUE,1,FALSE,none,35562,2022
52,DET,2022-07-31,Sun,Jul,FALSE,TRUE,10,FALSE,none,39647,2022
53,DET,2022-08-01,Mon,Aug,FALSE,FALSE,1,FALSE,none,24280,2022
54,DET,2022-08-02,Tue,Aug,FALSE,FALSE,1,FALSE,none,27700,2022
55,TEX,2022-08-12,Fri,Aug,TRUE,FALSE,10,FALSE,none,45000,2022
56,TEX,2022-08-13,Sat,Aug,TRUE,FALSE,1,FALSE,bobblehead,41724,2022
57,TEX,2022-08-14,Sun,Aug,FALSE,FALSE,1,FALSE,none,26276,2022
58,CLE,2022-08-15,Mon,Aug,FALSE,FALSE,1,FALSE,none,25852,2022
59,CLE,2022-08-16,Tue,Aug,FALSE,FALSE,1,FALSE,other,35362,2022
60,CLE,2022-08-17,Wed,Aug,FALSE,FALSE,1,FALSE,none,22341,2022
61,CLE,2022-08-24,Wed,Aug,FALSE,FALSE,7,FALSE,none,26414,2022
62,CLE,2022-08-25,Thu,Aug,FALSE,FALSE,1,FALSE,none,29163,2022
63,CLE,2022-08-26,Fri,Aug,TRUE,FALSE,1,FALSE,none,40471,2022
64,NYM,2022-08-27,Sat,Aug,TRUE,FALSE,1,FALSE,none,39914,2022
65,NYM,2022-08-28,Sun,Aug,FALSE,FALSE,1,FALSE,none,41433,2022
66,NYM,2022-08-29,Mon,Aug,FALSE,FALSE,1,FALSE,other,31302,2022
67,NYM,2022-09-05,Mon,Sep,FALSE,FALSE,7,FALSE,none,33581,2022
68,NYM,2022-09-06,Tue,Sep,FALSE,FALSE,1,FALSE,none,42585,2022
69,NYM,2022-09-07,Wed,Sep,FALSE,FALSE,1,FALSE,none,36832,2022
70,HOU,2022-09-08,Thu,Sep,FALSE,FALSE,1,FALSE,none,34680,2022
71,HOU,2022-09-09,Fri,Sep,TRUE,FALSE,1,FALSE,none,45000,2022
72,HOU,2022-09-10,Sat,Sep,TRUE,FALSE,1,FALSE,none,40895,2022
73,COL,2022-09-20,Tue,Sep,FALSE,FALSE,10,FALSE,concert,35698,2022
74,COL,2022-09-21,Wed,Sep,FALSE,FALSE,1,FALSE,none,26708,2022
75,COL,2022-09-22,Thu,Sep,FALSE,FALSE,1,FALSE,none,33322,2022
76,FLA,2022-09-23,Fri,Sep,TRUE,FALSE,1,FALSE,none,38973,2022
77,FLA,2022-09-24,Sat,Sep,TRUE,FALSE,1,FALSE,none,40837,2022
78,FLA,2022-09-25,Sun,Sep,FALSE,FALSE,1,FALSE,none,25079,2022
79,LAA,2022-10-05,Wed,Oct,FALSE,FALSE,10,FALSE,bobblehead,45000,2022
80,LAA,2022-10-06,Thu,Oct,FALSE,FALSE,1,FALSE,none,31900,2022
81,LAA,2022-10-07,Fri,Oct,TRUE,FALSE,1,FALSE,other,45000,2022
1,CLE,2023-03-27,Mon,Mar,FALSE,FALSE,50,TRUE,none,45000,2023
2,CLE,2023-03-28,Tue,Mar,FALSE,FALSE,1,FALSE,other,28788,2023
3,CLE,2023-03-29,Wed,Mar,FALSE,FALSE,1,FALSE,none,27040,2023
4,HOU,2023-03-30,Thu,Mar,FALSE,FALSE,1,FALSE,other,40724,2023
5,HOU,2023-03-31,Fri,Mar,TRUE,FALSE,1,FALSE,none,42368,2023
6,HOU,2023-04-01,Sat,Apr,TRUE,FALSE,1,FALSE,none,45000,2023
7,HOU,2023-04-02,Sun,Apr,FALSE,FALSE,1,FALSE,none,44773,2023
8,HOU,2023-04-03,Mon,Apr,FALSE,FALSE,1,FALSE,bobblehead,45000,2023
9,HOU,2023-04-04,Tue,Apr,FALSE,FALSE,1,FALSE,none,38624,2023
10,WAS,2023-04-14,Fri,Apr,TRUE,FALSE,10,FALSE,concert,45000,2023
11,WAS,2023-04-15,Sat,Apr,TRUE,FALSE,1,FALSE,none,35484,2023
12,WAS,2023-04-16,Sun,Apr,FALSE,FALSE,1,FALSE,other,27894,2023
13,WAS,2023-04-26,Wed,Apr,FALSE,FALSE,10,FALSE,none,31789,2023
14,WAS,2023-04-27,Thu,Apr,FALSE,FALSE,1,FALSE,none,26131,2023
15,WAS,2023-04-28,Fri,Apr,TRUE,FALSE,1,FALSE,none,43172,2023
16,ATL,2023-05-08,Mon,May,FALSE,FALSE,10,FALSE,none,36666,2023
17,ATL,2023-05-09,Tue,May,FALSE,FALSE,1,FALSE,none,28350,2023
18,ATL,2023-05-10,Wed,May,FALSE,FALSE,1,FALSE,none,33387,2023
19,ATL,2023-05-11,Thu,May,FALSE,FALSE,1,FALSE,none,35138,2023
20,ATL,2023-05-12,Fri,May,TRUE,FALSE,1,FALSE,bobblehead,45000,2023
21,ATL,2023-05-13,Sat,May,TRUE,FALSE,1,FALSE,none,45000,2023
22,CIN,2023-05-14,Sun,May,FALSE,FALSE,1,FALSE,none,31006,2023
23,CIN,2023-05-15,Mon,May,FALSE,FALSE,1,FALSE,none,30966,2023
24,CIN,2023-05-16,Tue,May,FALSE,FALSE,1,FALSE,none,37603,2023
25,LAA,2023-05-26,Fri,May,TRUE,FALSE,10,FALSE,none,44872,2023
26,LAA,2023-05-27,Sat,May,TRUE,FALSE,1,FALSE,none,44306,2023
27,LAA,2023-05-28,Sun,May,FALSE,FALSE,1,FALSE,concert,45000,2023
28,LAA,2023-05-29,Mon,May,FALSE,FALSE,1,FALSE,other,39740,2023
29,LAA,2023-05-30,Tue,May,FALSE,FALSE,1,FALSE,bobblehead,40423,2023
30,LAA,2023-05-31,Wed,May,FALSE,FALSE,1,FALSE,other,35975,2023
31,CWS,2023-06-10,Sat,Jun,TRUE,TRUE,10,FALSE,none,45000,2023
32,CWS,2023-06-11,Sun,Jun,FALSE,TRUE,1,FALSE,none,34882,2023
33,CWS,2023-06-12,Mon,Jun,FALSE,TRUE,1,FALSE,none,37831,2023
34,CWS,2023-06-13,Tue,Jun,FALSE,TRUE,1,FALSE,none,36479,2023
35,CWS,2023-06-14,Wed,Jun,FALSE,TRUE,1,FALSE,none,38069,2023
36,CWS,2023-06-15,Thu,Jun,FALSE,TRUE,1,FALSE,none,40858,2023
37,CWS,2023-06-25,Sun,Jun,FALSE,TRUE,10,FALSE,none,33885,2023
38,CWS,2023-06-26,Mon,Jun,FALSE,TRUE,1,FALSE,none,34032,2023
39,CWS,2023-06-27,Tue,Jun,FALSE,TRUE,1,FALSE,none,32807,2023
40,OAK,2023-06-28,Wed,Jun,FALSE,TRUE,1,FALSE,none,33431,2023
41,OAK,2023-06-29,Thu,Jun,FALSE,TRUE,1,FALSE,none,37643,2023
42,OAK,2023-06-30,Fri,Jun,TRUE,TRUE,1,FALSE,bobblehead,45000,2023
43,SF,2023-07-01,Sat,Jul,TRUE,TRUE,1,FALSE,none,45000,2023
44,SF,2023-07-02,Sun,Jul,FALSE,TRUE,1,FALSE,bobblehead,45000,2023
45,SF,2023-07-03,Mon,Jul,FALSE,TRUE,1,FALSE,none,45000,2023
46,MIN,2023-07-10,Mon,Jul,FALSE,TRUE,7,FALSE,none,39287,2023
47,MIN,2023-07-11,Tue,Jul,FALSE,TRUE,1,FALSE,none,37751,2023
48,MIN,2023-07-12,Wed,Jul,FALSE,TRUE,1,FALSE,none,28254,2023
49,KAN,2023-07-13,Thu,Jul,FALSE,TRUE,1,FALSE,none,37222,2023
50,KAN,2023-07-14,Fri,Jul,TRUE,TRUE,1,FALSE,none,45000,2023
51,KAN,2023-07-15,Sat,Jul,TRUE,TRUE,1,FALSE,none,45000,2023
52,CIN,2023-07-25,Tue,Jul,FALSE,TRUE,10,FALSE,none,41287,2023
53,CIN,2023-07-26,Wed,Jul,FALSE,TRUE,1,FALSE,none,31853,2023
54,CIN,2023-07-27,Thu,Jul,FALSE,TRUE,1,FALSE,none,35383,2023
55,BAL,2023-07-30,Sun,Jul,FALSE,TRUE,3,FALSE,none,45000,2023
56,BAL,2023-07-31,Mon,Jul,FALSE,TRUE,1,FALSE,none,33002,2023
57,BAL,2023-08-01,Tue,Aug,FALSE,FALSE,1,FALSE,none,28073,2023
58,BAL,2023-08-02,Wed,Aug,FALSE,FALSE,1,FALSE,other,29236,2023
59,BAL,2023-08-03,Thu,Aug,FALSE,FALSE,1,FALSE,none,34465,2023
60,BAL,2023-08-04,Fri,Aug,TRUE,FALSE,1,FALSE,other,35806,2023
61,PHI,2023-08-11,Fri,Aug,TRUE,FALSE,7,FALSE,none,45000,2023
62,PHI,2023-08-12,Sat,Aug,TRUE,FALSE,1,FALSE,none,45000,2023
63,PHI,2023-08-13,Sun,Aug,FALSE,FALSE,1,FALSE,none,38060,2023
64,LAD,2023-08-14,Mon,Aug,FALSE,FALSE,1,FALSE,concert,43798,2023
65,LAD,2023-08-15,Tue,Aug,FALSE,FALSE,1,FALSE,none,45000,2023
66,LAD,2023-08-16,Wed,Aug,FALSE,FALSE,1,FALSE,none,39667,2023
67,LAD,2023-08-23,Wed,Aug,FALSE,FALSE,7,FALSE,none,43133,2023
68,LAD,2023-08-24,Thu,Aug,FALSE,FALSE,1,FALSE,bobblehead,45000,2023
69,LAD,2023-08-25,Fri,Aug,TRUE,FALSE,1,FALSE,none,45000,2023
70,CHC,2023-08-26,Sat,Aug,TRUE,FALSE,1,FALSE,none,45000,2023
71,CHC,2023-08-27,Sun,Aug,FALSE,FALSE,1,FALSE,none,45000,2023
72,CHC,2023-08-28,Mon,Aug,FALSE,FALSE,1,FALSE,none,40842,2023
73,HOU,2023-09-07,Thu,Sep,FALSE,FALSE,10,FALSE,none,40710,2023
74,HOU,2023-09-08,Fri,Sep,TRUE,FALSE,1,FALSE,none,45000,2023
75,HOU,2023-09-09,Sat,Sep,TRUE,FALSE,1,FALSE,none,45000,2023
76,ARI,2023-09-10,Sun,Sep,FALSE,FALSE,1,FALSE,none,29435,2023
77,ARI,2023-09-11,Mon,Sep,FALSE,FALSE,1,FALSE,none,30573,2023
78,ARI,2023-09-12,Tue,Sep,FALSE,FALSE,1,FALSE,none,27140,2023
79,BOS,2023-09-13,Wed,Sep,FALSE,FALSE,1,FALSE,none,45000,2023
80,BOS,2023-09-14,Thu,Sep,FALSE,FALSE,1,FALSE,concert,45000,2023
81,BOS,2023-09-15,Fri,Sep,TRUE,FALSE,1,FALSE,none,45000,2023
1,FLA,2024-03-27,Wed,Mar,FALSE,FALSE,50,TRUE,none,45000,2024
2,FLA,2024-03-28,Thu,Mar,FALSE,FALSE,1,FALSE,none,29983,2024
3,FLA,2024-03-29,Fri,Mar,TRUE,FALSE,1,FALSE,none,45000,2024
4,FLA,2024-03-30,Sat,Mar,TRUE,FALSE,1,FALSE,bobblehead,45000,2024
5,FLA,2024-03-31,Sun,Mar,FALSE,FALSE,1,FALSE,none,27983,2024
6,FLA,2024-04-01,Mon,Apr,FALSE,FALSE,1,FALSE,none,34781,2024
7,LAA,2024-04-08,Mon,Apr,FALSE,FALSE,7,FALSE,none,43520,2024
8,LAA,2024-04-09,Tue,Apr,FALSE,FALSE,1,FALSE,none,35588,2024
9,LAA,2024-04-10,Wed,Apr,FALSE,FALSE,1,FALSE,none,39870,2024
10,WAS,2024-04-11,Thu,Apr,FALSE,FALSE,1,FALSE,none,28663,2024
11,WAS,2024-04-12,Fri,Apr,TRUE,FALSE,1,FALSE,none,39567,2024
12,WAS,2024-04-13,Sat,Apr,TRUE,FALSE,1,FALSE,none,43718,2024
13,LAA,2024-04-14,Sun,Apr,FALSE,FALSE,1,FALSE,none,45000,2024
14,LAA,2024-04-15,Mon,Apr,FALSE,FALSE,1,FALSE,other,44187,2024
