event_name,Date,Tickets
EXBB0401,2019-04-01,41912
EXBB0403,2019-04-03,37398
EXBB0404,2019-04-04,33815
EXBB0405,2019-04-05,29218
EXBB0406,2019-04-06,35618
EXBB0407,2019-04-07,32551
EXBB0411,2019-04-11,24015
EXBB0412,2019-04-12,33334
EXBB0413,2019-04-13,40117
EXBB0414,2019-04-14,23385
EXBB0416,2019-04-16,22407
EXBB0417,2019-04-17,22356
EXBB0418,2019-04-18,24193
EXBB0426,2019-04-26,40282
EXBB0427,2019-04-27,38243
EXBB0428,2019-04-28,33919
EXBB0429,2019-04-29,19353
EXBB0430,2019-04-30,18626
EXBB0501,2019-05-01,20394
EXBB0502,2019-05-02,23746
EXBB0514,2019-05-14,23718
EXBB0515,2019-05-15,23367
EXBB0516,2019-05-16,28783
EXBB0517,2019-05-17,36222
EXBB0518,2019-05-18,39121
EXBB0519,2019-05-19,36548
EXBB0528,2019-05-28,27573
EXBB0529,2019-05-29,37726
EXBB0531,2019-05-31,35524
EXBB0601,2019-06-01,37108
EXBB0602,2019-06-02,28978
EXBB0610,2019-06-10,21822
EXBB0611,2019-06-11,31305
EXBB0612,2019-06-12,24428
EXBB0613,2019-06-13,35108
EXBB0614,2019-06-14,41975
EXBB0615,2019-06-15,43593
EXBB0616,2019-06-16,40855
EXBB0617,2019-06-17,24660
EXBB0618,2019-06-18,24971
EXBB0619,2019-06-19,37104
EXBB0702,2019-07-02,40180
EXBB0703,2019-07-03,40147
EXBB0704,2019-07-04,40633
EXBB0705,2019-07-05,41102
EXBB0706,2019-07-06,37216
EXBB0707,2019-07-07,30514
EXBB0718,2019-07-18,39363
EXBB0719,2019-07-19,39344
EXBB0720,2019-07-20,42467
EXBB0721,2019-07-21,31848
EXBB0723,2019-07-23,36570
EXBB0724,2019-07-24,38865
EXBB0801,2019-08-01,28677
EXBB0802,2019-08-02,37743
EXBB0803,2019-08-03,42085
EXBB0804,2019-08-04,33083
EXBB0813,2019-08-13,27627
EXBB0814,2019-08-14,23582
EXBB0815,2019-08-15,25424
EXBB0816,2019-08-16,41413
EXBB0817,2019-08-17,43619
EXBB0818,2019-08-18,37617
EXBB0820,2019-08-20,21271
EXBB0821,2019-08-21,23537
EXBB0822,2019-08-22,23967
EXBB0830,2019-08-30,39097
EXBB0831,2019-08-31,36664
EXBB0901,2019-09-01,41397
EXBB0902,2019-09-02,28987
EXBB0903,2019-09-03,25427
EXBB0905,2019-09-05,28831
EXBB0906,2019-09-06,37181
EXBB0907,2019-09-07,40467
EXBB0908,2019-09-08,31789
EXBB0917,2019-09-17,28843
EXBB0918,2019-09-18,27937
EXBB0919,2019-09-19,33223
EXBB0920,2019-09-20,37419
EXBB0921,2019-09-21,40899
EXBB0922,2019-09-22,33674
