event_name,Date,Overall_Revenue,Tickets,PC_Ticket,Turnstile,ticket_type,ticket_type2
EXBB0406,4/6/2023,2889098,42803,2457001,40005,All,All
EXBB0407,4/7/2023,2242397,41963,1826915,38473,All,All
EXBB0408,4/8/2023,2371546,40154,1985208,24805,All,All
EXBB0409,4/9/2023,1788636,40138,1433051,31914,All,All
EXBB0410,4/10/2023,1575499,30237,1205708,20590,All,All
EXBB0411,4/11/2023,1722427,33559,1306766,26392,All,All
EXBB0412,4/12/2023,1712453,30648,1274980,24801,All,All
EXBB0421,4/21/2023,2424095,41397,2007237,37448,All,All
EXBB0422,4/22/2023,2860971,42399,2425417,38681,All,All
EXBB0423,4/23/2023,1953843,41530,1519141,36315,All,All
EXBB0424,4/24/2023,1589829,28241,1174795,18841,All,All
EXBB0425,4/25/2023,1761328,34059,1320913,26021,All,All
EXBB0426,4/26/2023,1669507,30282,1222749,19339,All,All
EXBB0427,4/27/2023,1803464,32196,1302747,17226,All,All
EXBB0505,5/5/2023,2115146,40176,1689656,33524,All,All
EXBB0506,5/6/2023,2441218,41454,2032630,37559,All,All
EXBB0507,5/7/2023,1900994,40800,1503413,36259,All,All
EXBB0509,5/9/2023,2137286,36805,1649140,30294,All,All
EXBB0510,5/10/2023,2259312,40270,1800390,36552,All,All
EXBB0519,5/19/2023,2193450,40412,1759144,36003,All,All
EXBB0520,5/20/2023,2444006,40250,2028960,33459,All,All
EXBB0521,5/21/2023,1920358,40213,1493611,33894,All,All
EXBB0522,5/22/2023,2161752,40205,1733342,31047,All,All
EXBB0523,5/23/2023,2136782,36731,1665775,27415,All,All
EXBB0524,5/24/2023,2168256,37838,1715910,31741,All,All
EXBB0525,5/25/2023,2108506,43216,1667340,38221,All,All
EXBB0526,5/26/2023,2208267,40533,1798516,36280,All,All
EXBB0527,5/27/2023,2501861,42665,2084090,38700,All,All
EXBB0528,5/28/2023,2003863,43109,1612600,39715,All,All
EXBB0606,6/6/2023,1946560,37365,1479335,30765,All,All
EXBB0607,6/7/2023,1996787,40178,1544212,35836,All,All
EXBB0608,6/8/2023,2018558,39347,1540433,34176,All,All
EXBB0609,6/9/2023,2413278,40297,1989093,35768,All,All
EXBB0610,6/10/2023,2464310,40799,2046688,35194,All,All
EXBB0611,6/11/2023,1919410,36744,1500518,26650,All,All
EXBB0615,6/15/2023,1996025,38555,1479687,29764,All,All
EXBB0616,6/16/2023,2460277,41214,2023157,37637,All,All
EXBB0617,6/17/2023,2504354,41558,2063215,36750,All,All
EXBB0618,6/18/2023,2032099,41161,1634664,35351,All,All
EXBB0626,6/26/2023,2068098,40884,1607119,35323,All,All
EXBB0627,6/27/2023,2100073,42635,1640279,38369,All,All
EXBB0628,6/28/2023,1975281,38260,1465334,27938,All,All
EXBB0630,6/30/2023,2373906,42320,1970310,38634,All,All
EXBB0701,7/1/2023,2459065,41889,2044542,35577,All,All
EXBB0702,7/2/2023,2049925,40932,1646733,35594,All,All
EXBB0714,7/14/2023,2897140,42782,2474120,39252,All,All
EXBB0715,7/15/2023,3112118,43344,2707681,39756,All,All
EXBB0716,7/16/2023,2277804,40174,1852473,33159,All,All
EXBB0718,7/18/2023,2011812,41100,1551309,35892,All,All
EXBB0719,7/19/2023,2093327,41992,1640298,37086,All,All
EXBB0720,7/20/2023,1961376,38791,1488219,27025,All,All
EXBB0728,7/28/2023,2573630,42502,2142985,38059,All,All
EXBB0729,7/29/2023,2943526,43276,2527069,39157,All,All
EXBB0730,7/30/2023,2240749,40262,1801305,30403,All,All
EXBB0731,7/31/2023,2285179,41173,1786626,36056,All,All
EXBB0801,8/1/2023,2224312,41777,1774603,38016,All,All
EXBB0802,8/2/2023,2146848,36495,1654576,26247,All,All
EXBB0814,8/14/2023,2677349,42717,2177708,34855,All,All
EXBB0815,8/15/2023,2616089,40454,2127907,33399,All,All
EXBB0816,8/16/2023,2590959,40743,2089001,34116,All,All
EXBB0818,8/18/2023,2237003,40688,1799949,34192,All,All
EXBB0819,8/19/2023,2599969,42744,2147565,39135,All,All
EXBB0820,8/20/2023,2024665,40291,1582506,31195,All,All
EXBB0821,8/21/2023,1852144,33216,1378442,22604,All,All
EXBB0822,8/22/2023,1931050,36841,1454063,28074,All,All
EXBB0823,8/23/2023,1937418,35674,1452436,26109,All,All
EXBB0905,9/5/2023,1785662,33553,1302776,21844,All,All
EXBB0906,9/6/2023,2014161,35514,1449963,24414,All,All
EXBB0907,9/7/2023,1870257,34349,1385495,24046,All,All
EXBB0908,9/8/2023,2227987,40452,1738066,32322,All,All
EXBB0909,9/9/2023,2548721,42866,2099385,37879,All,All
EXBB0910,9/10/2023,1993345,39071,1492710,30158,All,All
EXBB0918,9/18/2023,1939173,39216,1450386,27212,All,All
EXBB0919,9/19/2023,2079348,40695,1514103,32485,All,All
EXBB0920,9/20/2023,2042539,38856,1454551,26522,All,All
EXBB0926,9/26/2023,2192511,40151,1570023,31490,All,All
EXBB0927,9/27/2023,1915116,37246,1515326,30433,All,All
EXBB0928,9/28/2023,2050559,40249,1657419,34740,All,All
EXBB0929,9/29/2023,2365167,41481,1846060,37336,All,All
EXBB0930,9/30/2023,2564191,41652,2165825,35879,All,All
EXBB1001,10/1/2023,2338892,40697,1784245,34270,All,All
