Season,Game_Number,Date,Day,effective_day,O_Team,Time_Type2,Month,Weekend,School,start_of_homestand,end_of_homestand,Opening_Day,Holiday,Fourth_of_july,Final_Game,BobbleHead,replica,Day_In_Homestand,star_wars,concert,christian_concert,playoff_odds,delete,afternoon_weekday,afternoon_weekend,Week,weighted_odds,first_homestand,Time_Type
2017,1,4/14/2017,FRI,FRI,San Diego Padres,3,Apr,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,15,1,1,3
2017,2,4/15/2017,SAT,SAT,San Diego Padres,3,Apr,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,15,2,1,3
2017,3,4/16/2017,SUN,SUN,San Diego Padres,1,Apr,1,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,15,6,1,1
2017,4,4/17/2017,MON,MON,San Diego Padres,3,Apr,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,16,8,1,5
2017,5,4/18/2017,TUE,TUE,Washington Nationals,3,Apr,0,1,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,16,10,1,5
2017,6,4/19/2017,WED,WED,Washington Nationals,3,Apr,0,1,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,16,12,1,5
2017,7,4/20/2017,THU,THU,Washington Nationals,3,Apr,0,1,0,1,0,0,0,0,0,0,7,0,0,0,2,0,0,0,16,14,1,5
2017,8,5/1/2017,MON,MON,New York Mets,3,May,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,18,16,0,5
2017,9,5/2/2017,TUE,TUE,New York Mets,3,May,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,18,18,0,5
2017,10,5/3/2017,WED,WED,New York Mets,3,May,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,18,30,0,5
2017,11,5/4/2017,THU,THU,New York Mets,3,May,0,1,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,18,22,0,5
2017,12,5/5/2017,FRI,FRI,St. Louis Cardinals,3,May,1,1,0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,18,24,0,3
2017,13,5/6/2017,SAT,SAT,St. Louis Cardinals,3,May,1,1,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,18,26,0,3
2017,14,5/7/2017,SUN,SUN,St. Louis Cardinals,1,May,1,1,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,1,18,14,0,1
2017,15,5/17/2017,WED,WED,Toronto Blue Jays,3,May,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,15,0,5
2017,16,5/18/2017,THU,THU,Toronto Blue Jays,3,May,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,20,16,0,5
2017,17,5/19/2017,FRI,FRI,Washington Nationals,3,May,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,20,0,0,3
2017,18,5/20/2017,SAT,SAT,Washington Nationals,2,May,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,20,18,0,2
2017,19,5/21/2017,SUN,SUN,Washington Nationals,1,May,1,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,20,19,0,1
2017,20,5/22/2017,MON,MON,Pittsburgh Pirates,3,May,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,21,20,0,5
2017,21,5/23/2017,TUE,TUE,Pittsburgh Pirates,3,May,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,21,21,0,5
2017,22,5/24/2017,WED,WED,Pittsburgh Pirates,3,May,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,21,22,0,5
2017,23,5/25/2017,THU,THU,Pittsburgh Pirates,1,May,0,1,0,1,0,0,0,0,0,0,9,0,0,0,1,0,1,0,21,23,0,4
2017,24,6/5/2017,MON,MON,Philadelphia Phillies,3,Jun,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,24,0,5
2017,25,6/6/2017,TUE,TUE,Philadelphia Phillies,3,Jun,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,23,25,0,5
2017,26,6/7/2017,WED,WED,Philadelphia Phillies,3,Jun,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,0,0,5
2017,27,6/8/2017,THU,THU,Philadelphia Phillies,3,Jun,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,23,0,0,5
2017,28,6/9/2017,FRI,FRI,New York Mets,3,Jun,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,23,0,0,3
2017,29,6/10/2017,SAT,SAT,New York Mets,2,Jun,1,0,0,0,0,0,0,0,0,0,6,0,1,0,1,1,0,1,23,29,0,2
2017,30,6/11/2017,SUN,SUN,New York Mets,1,Jun,1,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,23,0,0,1
2017,31,6/16/2017,FRI,FRI,Miami Marlins,3,Jun,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,24,0,0,3
2017,32,6/17/2017,SAT,SAT,Miami Marlins,2,Jun,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,24,0,0,2
2017,33,6/18/2017,SUN,SUN,Miami Marlins,1,Jun,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,24,0,0,1
2017,34,6/19/2017,MON,MON,San Francisco Giants,3,Jun,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,5
2017,35,6/20/2017,TUE,TUE,San Francisco Giants,3,Jun,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,5
2017,36,6/21/2017,WED,WED,San Francisco Giants,3,Jun,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,25,0,0,5
2017,37,6/22/2017,THU,THU,San Francisco Giants,3,Jun,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,25,0,0,5
2017,38,6/23/2017,FRI,FRI,Milwaukee Brewers,3,Jun,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,25,0,0,3
2017,39,6/24/2017,SAT,SAT,Milwaukee Brewers,2,Jun,1,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,1,25,39,0,2
2017,40,6/25/2017,SUN,SUN,Milwaukee Brewers,1,Jun,1,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,1,25,40,0,1
2017,41,7/4/2017,TUE,TUE,Houston Astros,3,Jul,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,27,123,0,5
2017,42,7/5/2017,WED,WED,Houston Astros,3,Jul,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,27,126,0,5
2017,43,7/14/2017,FRI,FRI,Arizona Diamondbacks,3,Jul,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,28,86,0,3
2017,44,7/15/2017,SAT,SAT,Arizona Diamondbacks,3,Jul,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,28,132,0,3
2017,45,7/16/2017,SUN,SUN,Arizona Diamondbacks,1,Jul,1,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,1,28,180,0,1
2017,46,7/17/2017,MON,MON,Chicago Cubs,3,Jul,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,29,230,0,5
2017,47,7/18/2017,TUE,TUE,Chicago Cubs,3,Jul,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,29,188,0,5
2017,48,7/19/2017,WED,WED,Chicago Cubs,1,Jul,0,0,0,1,0,0,0,0,0,0,6,0,0,0,2,1,1,0,29,96,0,4
2017,49,8/1/2017,TUE,TUE,Los Angeles Dodgers,3,Aug,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,5
2017,50,8/2/2017,WED,WED,Los Angeles Dodgers,3,Aug,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,31,0,0,5
2017,51,8/3/2017,THU,THU,Los Angeles Dodgers,3,Aug,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,31,0,0,5
2017,52,8/4/2017,FRI,FRI,Miami Marlins,3,Aug,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,31,0,0,3
2017,53,8/5/2017,SAT,SAT,Miami Marlins,3,Aug,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,31,0,0,3
2017,54,8/6/2017,SUN,SUN,Miami Marlins,1,Aug,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,31,0,0,1
2017,55,8/8/2017,TUE,TUE,Philadelphia Phillies,3,Aug,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,32,0,0,5
2017,56,8/9/2017,WED,WED,Philadelphia Phillies,3,Aug,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,32,0,0,5
2017,57,8/18/2017,FRI,FRI,Cincinnati Reds,3,Aug,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,33,0,0,3
2017,58,8/19/2017,SAT,SAT,Cincinnati Reds,3,Aug,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,33,0,0,3
2017,59,8/20/2017,SUN,SUN,Cincinnati Reds,1,Aug,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,33,0,0,1
2017,60,8/21/2017,MON,MON,Seattle Mariners,3,Aug,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,34,0,0,5
2017,61,8/22/2017,TUE,TUE,Seattle Mariners,3,Aug,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,0,0,5
2017,62,8/23/2017,WED,WED,Seattle Mariners,3,Aug,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,34,0,0,5
2017,63,8/25/2017,FRI,FRI,Colorado Rockies,3,Aug,1,1,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,34,0,0,3
2017,64,8/26/2017,SAT,SAT,Colorado Rockies,3,Aug,1,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,34,0,0,3
2017,65,8/27/2017,SUN,SUN,Colorado Rockies,1,Aug,1,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,34,0,0,1
2017,66,9/4/2017,MON,SUN,Texas Rangers,3,Sep,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,36,0,0,5
2017,67,9/5/2017,TUE,TUE,Texas Rangers,3,Sep,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,36,0,0,5
2017,68,9/6/2017,WED,WED,Texas Rangers,3,Sep,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,36,0,0,5
2017,69,9/7/2017,THU,THU,Miami Marlins,3,Sep,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,36,0,0,5
2017,70,9/8/2017,FRI,FRI,Miami Marlins,3,Sep,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,36,0,0,3
2017,71,9/9/2017,SAT,SAT,Miami Marlins,3,Sep,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,36,0,0,3
2017,72,9/10/2017,SUN,SUN,Miami Marlins,1,Sep,1,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,36,0,0,1
2017,73,9/15/2017,FRI,FRI,New York Mets,3,Sep,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,3
2017,74,9/16/2017,SAT,SAT,New York Mets,3,Sep,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37,0,0,3
2017,75,9/17/2017,SUN,SUN,New York Mets,1,Sep,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,37,0,0,1
2017,76,9/19/2017,TUE,TUE,Washington Nationals,3,Sep,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,38,0,0,5
2017,77,9/20/2017,WED,WED,Washington Nationals,3,Sep,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,38,0,0,5
2017,78,9/21/2017,THU,THU,Washington Nationals,3,Sep,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,38,0,0,5
2017,79,9/22/2017,FRI,FRI,Philadelphia Phillies,3,Sep,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,38,0,0,3
2017,80,9/23/2017,SAT,SAT,Philadelphia Phillies,3,Sep,1,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,38,0,0,3
2017,81,9/24/2017,SUN,SUN,Philadelphia Phillies,1,Sep,1,1,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,1,38,0,0,1
