Season,Game_Number,Date,Time_of_year,Day,effective_day,O_Team,Time_Type2,Month,Weekend,School,start_of_homestand,end_of_homestand,Opening_Day,Holiday,Fourth_of_july,Final_Game,BobbleHead,replica,Day_In_Homestand,star_wars,concert,christian_concert,playoff_odds,delete,afternoon_weekday,afternoon_weekend,Tier,delete_retail,delete_dnc,Week,weighted_odds,first_homestand,Time_Type
2023,1,4/6/2023,Opening Day,THU,THU,San Diego Padres,3,Apr,0,1,1,0,1,0,0,0,0,0,1,0,0,0,65,0,0,0,0,0,0,14,35,1,5
2023,2,4/7/2023,Opening Homestand,FRI,FRI,San Diego Padres,3,Apr,1,1,0,0,0,0,0,0,0,0,2,0,0,0,65,0,0,0,3,0,0,14,70,1,3
2023,3,4/8/2023,Opening Saturday,SAT,SAT,San Diego Padres,3,Apr,1,1,0,0,0,0,0,0,0,0,3,0,0,0,65,0,0,0,2,0,0,14,105,1,3
2023,4,4/9/2023,Opening Homestand,SUN,SUN,San Diego Padres,3,Apr,1,1,0,0,0,0,0,0,0,0,4,0,0,0,65,0,0,1,3,0,0,15,140,1,5
2023,5,4/10/2023,Opening Homestand,MON,MON,Cincinnati Reds,3,Apr,0,1,0,0,0,0,0,0,0,0,5,0,0,0,65,0,0,0,3,0,0,15,175,1,5
2023,6,4/11/2023,Opening Homestand,TUE,TUE,Cincinnati Reds,3,Apr,0,1,0,0,0,0,0,0,1,0,6,0,0,0,65,0,0,0,5,0,0,15,210,1,5
2023,7,4/12/2023,Opening Homestand,WED,WED,Cincinnati Reds,3,Apr,0,1,0,1,0,0,0,0,0,0,7,0,0,0,65,0,0,0,4,0,0,15,245,1,5
2023,8,4/21/2023,April,FRI,FRI,Houston Astros,3,Apr,1,1,1,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,3,0,0,16,280,0,3
2023,9,4/22/2023,April,SAT,SAT,Houston Astros,3,Apr,1,1,0,0,0,0,0,0,0,0,2,0,0,0,65,0,0,0,3,0,0,16,315,0,3
2023,10,4/23/2023,April,SUN,SUN,Houston Astros,1,Apr,1,1,0,0,0,0,0,0,0,0,3,0,0,0,65,0,0,1,3,0,0,17,350,0,1
2023,11,4/24/2023,April,MON,MON,Miami Marlins,3,Apr,0,1,0,0,0,0,0,0,0,0,4,0,0,0,65,0,0,0,2,0,0,17,385,0,5
2023,12,4/25/2023,April,TUE,TUE,Miami Marlins,3,Apr,0,1,0,0,0,0,0,0,1,0,5,0,0,0,65,0,0,0,2,0,0,17,420,0,5
2023,13,4/26/2023,April,WED,WED,Miami Marlins,3,Apr,0,1,0,0,0,0,0,0,0,0,6,0,0,0,65,0,0,0,2,0,0,17,455,0,5
2023,14,4/27/2023,April,THU,THU,Miami Marlins,1,Apr,0,1,0,1,0,0,0,0,0,0,7,0,0,0,65,0,1,0,2,0,0,17,490,0,4
2023,15,5/5/2023,May School,FRI,FRI,Baltimore Orioles ,3,May,1,1,1,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,2,0,0,18,525,0,3
2023,16,5/6/2023,May School,SAT,SAT,Baltimore Orioles ,3,May,1,1,0,0,0,0,0,0,0,0,2,0,0,0,65,0,0,0,3,0,0,18,560,0,3
2023,17,5/7/2023,May School,SUN,SUN,Baltimore Orioles ,1,May,1,1,0,0,0,0,0,0,0,0,3,0,0,0,65,0,0,1,2,0,0,19,595,0,1
2023,18,5/9/2023,May School,TUE,TUE,Boston Red Sox,3,May,0,1,1,0,0,0,0,0,0,0,1,0,0,0,65,0,0,0,2,0,0,19,630,0,5
2023,19,5/10/2023,May School,WED,WED,Boston Red Sox,3,May,0,1,0,1,0,0,0,0,1,0,2,0,0,0,65,0,0,0,3,0,0,19,665,0,5
2023,20,5/19/2023,May School,FRI,FRI,Seattle Mariners,3,May,1,1,1,0,0,0,0,0,0,0,1,1,0,0,65,0,0,0,2,0,0,20,700,0,3
2023,21,5/20/2023,May School,SAT,SAT,Seattle Mariners,3,May,1,1,0,0,0,0,0,0,0,0,2,0,0,0,65,0,0,0,3,0,0,20,735,0,3
2023,22,5/21/2023,May School,SUN,SUN,Seattle Mariners,1,May,1,1,0,0,0,0,0,0,0,0,3,0,0,0,65,0,0,1,5,0,0,21,770,0,1
2023,23,5/22/2023,May School,MON,MON,Los Angeles Dodgers,3,May,0,1,0,0,0,0,0,0,1,0,4,0,0,0,65,0,0,0,5,0,0,21,805,0,5
2023,24,5/23/2023,May School,TUE,TUE,Los Angeles Dodgers,3,May,0,1,0,0,0,0,0,0,0,0,5,0,0,0,65,0,0,0,5,0,0,21,840,0,5
2023,25,5/24/2023,May School,WED,WED,Los Angeles Dodgers,3,May,0,1,0,0,0,0,0,0,0,0,6,0,0,0,65,0,0,0,3,0,0,21,875,0,5
2023,26,5/25/2023,May No School,THU,THU,Philadelphia Phillies,3,May,0,0,0,0,0,0,0,0,0,1,7,0,0,0,65,0,0,0,2,0,0,21,910,0,5
2023,27,5/26/2023,May No School,FRI,FRI,Philadelphia Phillies,3,May,1,0,0,0,0,0,0,0,0,0,8,0,0,0,65,0,0,0,2,0,0,21,945,0,3
